# SFH state properties. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; V; E; δn_M^2; S [calculated 2025-06-01T17:57:40.442]
30; 0.06896551724137931; -18.828494548857464; [0.25000000000000033, 0.28481919848172693, 0.32162871112721453, 0.3325332074875593, 0.3436966893013764, 0.3447059383174748, 0.34577451732301323, 0.34109394817172983, 0.3364542586173845, 0.3278815500735435, 0.31937826824807036, 0.3078274167178598, 0.29639189032244595, 0.28235554779944294, 0.26849304126357204, 0.25221180730773857]; [0.6931471805599452, 0.9461601132793165, 1.0844020718058072, 1.177627011290929, 1.2469997260898, 1.3011669815864197, 1.3445073957578002, 1.3795596611702525, 1.4079220672053334, 1.4306556725268524, 1.4484860031915479, 1.4619157858012597, 1.4712884999005322, 1.4768283088840326, 1.4786611370007678, 1.4768282048829813, 1.4712883096572056, 1.4619155243113868, 1.4484856630968086, 1.430655237711458, 1.407921571164333, 1.3795590799457145, 1.3445067026524777, 1.3011662160611803, 1.2469988490104946, 1.17762624035006, 1.0844012682135542, 0.9461594119163487, 0.6931471805599452]
30; 0.27586206896551724; -17.934552190792058; [0.25000000000000033, 0.27466539949808094, 0.3122888453374177, 0.3200558771196778, 0.3316348418332773, 0.3311799394862533, 0.3326974530428674, 0.3272800090250545, 0.32319201673878584, 0.3142936953349038, 0.3064579902774402, 0.29484974381258466, 0.2842009599592458, 0.27029861421732293, 0.2573483600670697, 0.2413453581336283]; [0.6931471805593588, 0.946445403167707, 1.0847518235651243, 1.1779977790689324, 1.2473792390663432, 1.3015511166854246, 1.3448943727939768, 1.3799482942482613, 1.4083118299377635, 1.4310461092615445, 1.448877092936779, 1.4623071791440307, 1.471680297121377, 1.4772201189391856, 1.4790530905823598, 1.4772200142033065, 1.4716801112775648, 1.4623069062411225, 1.4488767273012149, 1.4310456260198485, 1.4083112654102505, 1.3799476639032997, 1.3448936652361985, 1.3015503387395986, 1.2473783712473037, 1.1779969506613752, 1.0847510481936682, 0.9464447301322971, 0.6931471805596123]
30; 0.4827586206896552; -17.483143276857792; [0.245555555555515, 0.2671171697762957, 0.29924710116046793, 0.3112784146833336, 0.31646148665585255, 0.3213236120819369, 0.3174609457500241, 0.3165032699762724, 0.3088822566712405, 0.302875154143, 0.29351022130079124, 0.28324312137562624, 0.2726804892946857, 0.25911767490776993, 0.24708612816517203, 0.23129132987653137]; [0.6842317001067907, 0.9380519856862857, 1.0772986774372557, 1.171009806298172, 1.2405870867222777, 1.2948459173142741, 1.3382331060882102, 1.3733121948289708, 1.401691665010119, 1.4244364884796155, 1.4422747343852382, 1.4557096998846293, 1.4650860170522573, 1.4706276545050765, 1.472461209084673, 1.4706275896563317, 1.4650858725558609, 1.4557094619729585, 1.4422743750351006, 1.424436061494155, 1.401691111409201, 1.373311517438175, 1.3382323818510062, 1.2948451449722143, 1.2405862884024106, 1.1710090229666557, 1.0772979936343332, 0.938051442427403, 0.6842317051703015]
30; 0.6896551724137931; -17.000618560914635; [0.24555555555547637, 0.2586397143345913, 0.29150141340236513, 0.3018348200199493, 0.3061650089810262, 0.3113275981450517, 0.3063648957482647, 0.30619482316217084, 0.297879167784664, 0.2924851938200559, 0.28309401736182804, 0.2730566583586536, 0.26309646789625235, 0.2494853041573226, 0.2384277827702558, 0.22260116252035636]; [0.6842317061986809, 0.9387833332041273, 1.0782335804075849, 1.1720215411154948, 1.241633085745945, 1.2959104247446065, 1.3393082388193802, 1.374394221996776, 1.4027782435035974, 1.4255262231921095, 1.4433666605298465, 1.456803114189976, 1.4661803780256395, 1.4717224929631836, 1.4735562239834372, 1.4717224066810362, 1.4661802014287861, 1.4568028630654883, 1.4433663349700805, 1.4255258150209484, 1.4027776941940404, 1.3743935308275004, 1.3393074654889625, 1.295909564519223, 1.241632216740301, 1.1720207519060717, 1.0782329122686187, 0.9387828093063458, 0.6842317100993923]
30; 0.896551724137931; -16.54389830174399; [0.245555555553242, 0.25048377191942817, 0.28450383433500276, 0.293080943876315, 0.29665915893342143, 0.30223994248992864, 0.2960651892786373, 0.29685864356441033, 0.2877011425383743, 0.2830263403798219, 0.27353825558470896, 0.2637082336650363, 0.2543817543603128, 0.24059192345270358, 0.2305929805162598, 0.21457148089820527]; [0.6842317069671031, 0.9396441163543777, 1.079354657631892, 1.173249035411123, 1.242910195017938, 1.2972151314117426, 1.3406289434679795, 1.3757251919068878, 1.4041159130272713, 1.4268685153330958, 1.444712059514234, 1.4581506752005737, 1.4675292829282598, 1.4730721944350813, 1.4749061735073876, 1.4730720962870925, 1.4675290926142508, 1.4581503889570082, 1.4447116777051148, 1.4268680490987804, 1.404115331272308, 1.3757244671143072, 1.3406281132530715, 1.297214182287821, 1.2429092510451913, 1.1732481669405461, 1.0793539648882473, 0.9396435581905489, 0.6842317112613833]
30; 1.103448275862069; -16.190168188267023; [0.23795316292226865, 0.24762428417099616, 0.2734080525034396, 0.2905349215432391, 0.2893772384928585, 0.2987449559367245, 0.2944164932585635, 0.2936988988560129, 0.2907528031701028, 0.2828728996318, 0.27929496829122213, 0.26897827188962076, 0.2615326766850242, 0.2521961970229778, 0.23988681857367444, 0.23100122519184016]; [0.6755857834187001, 0.7879957537003119, 0.9863551572091797, 1.1038394886593201, 1.0501132054417912, 1.253245938101882, 1.1532327744785709, 1.2463684708574982, 1.3019007190854508, 1.203046166753852, 1.374002980745043, 1.2475675528312375, 1.3190109039094824, 1.355982476024595, 1.2402705764268687, 1.3958514314584358, 1.254743097594461, 1.31177031160139, 1.3340921876260878, 1.2030467696459612, 1.341809027438066, 1.1819905821315506, 1.2172438964459957, 1.2133193562164741, 1.0501133069503439, 1.1436397405344263, 0.9220122384650227, 0.8514218405379212, 0.6518343041580419]
30; 1.3103448275862069; -15.921729013603276; [0.23222690970647372, 0.2501210581924738, 0.2624938912251389, 0.28668873325487654, 0.28275444090458657, 0.28579507396806286, 0.2882130388910944, 0.27920694626961884, 0.2772874600732802, 0.2706816009816665, 0.25959446930831237, 0.2539785190792913, 0.24197329326053377, 0.22988510394748682, 0.22086247137390044, 0.20502822494888887]; [0.6571424864201616, 0.9136803583825016, 1.0563453789150465, 1.1518488075466264, 1.2221292425137262, 1.2768137243630588, 1.3203538539193063, 1.355509988639972, 1.3840101563939262, 1.4067100718267342, 1.4246375690814643, 1.4380580874209445, 1.4474180637068623, 1.4530306331170353, 1.4547804009296186, 1.4530135344326096, 1.4474388346457328, 1.4380275316558961, 1.4246477265337016, 1.4067000781506023, 1.3839886052134018, 1.3555263164415143, 1.3203198715075828, 1.2768214764360002, 1.2221184187462262, 1.1518263843673577, 1.0563597910130522, 0.9136549165697659, 0.6571373365117728]
30; 1.5172413793103448; -15.735189198818532; [0.2322222222186614, 0.24578644312627523, 0.257104142540524, 0.28219636673536586, 0.2766436227257172, 0.27983023460090073, 0.28262791149347927, 0.27272533440000135, 0.2714025794705454, 0.2648557193852973, 0.25336666569548977, 0.24851851463175711, 0.236358130104505, 0.22430965390301927, 0.21605688455207553, 0.19994921177574765]; [0.6571574695372666, 0.9148202905690236, 1.0579237432989952, 1.1535587088060921, 1.2240132271746162, 1.2786972978321314, 1.3223089570879736, 1.3575201485735682, 1.385984630796831, 1.408786114596588, 1.4266631306579567, 1.4401248613039812, 1.4495182156779236, 1.455069501036409, 1.4569062941776694, 1.4550693654718878, 1.4495179306094206, 1.4401244291248119, 1.4266625828195298, 1.4087854498600203, 1.385983808315575, 1.3575192872212227, 1.322307980738453, 1.2786961594185204, 1.2240122689732635, 1.1535578991171431, 1.0579228516756267, 0.9148197473486764, 0.6571574871754744]
30; 1.7241379310344827; -15.561570842109784; [0.2322222222221799, 0.24178446459903216, 0.25218241085824017, 0.278204249546466, 0.2710744880188488, 0.27445511062673655, 0.2776516437527207, 0.26685274883693705, 0.2661564777065919, 0.2596673891479361, 0.247766724579048, 0.2437046287570195, 0.23137085889784245, 0.21935143394149825, 0.21187567639436974, 0.19546506351715007]; [0.6571574833831659, 0.9158867757644884, 1.0594125690329685, 1.1552186165922267, 1.2257508783792108, 1.2804785925837567, 1.3241156107086083, 1.3593427487571308, 1.3878186671815291, 1.410627847578588, 1.4285101202858859, 1.4419757519377818, 1.4513714779058813, 1.4569241438425227, 1.4587615459065784, 1.4569240205867735, 1.4513712129496976, 1.4419753438299985, 1.428509595617081, 1.4106271949893714, 1.3878178580092058, 1.3593418702654256, 1.3241146230010283, 1.2804774454453247, 1.2257498684341483, 1.1552177780171546, 1.0594116753220386, 0.9158862490798814, 0.6571574986551731]
30; 1.9310344827586208; -15.399882470862746; [0.23222222220228478, 0.2380944887100279, 0.247676986554555, 0.2746441280546566, 0.2659825072438603, 0.2695844172483687, 0.2731899936311073, 0.261492161406028, 0.2614333639377014, 0.2549944106000103, 0.24266354209885546, 0.23939051226733174, 0.22685834008265363, 0.21484548712109586, 0.20813989138097727, 0.19138747542196183]; [0.6571574778876791, 0.9169673711368322, 1.060938825794607, 1.156927995451295, 1.2275436407283942, 1.2823185511872817, 1.3259829379775936, 1.361227409268543, 1.3897157694085904, 1.4125333734911254, 1.430421420294572, 1.443891270535461, 1.4532896410856149, 1.4588437792599622, 1.4606817155363663, 1.4588436375568108, 1.4532893975114445, 1.4438908841630207, 1.430420883020347, 1.412532720459947, 1.3897149550456334, 1.3612265624303754, 1.3259820079612326, 1.2823175050337134, 1.2275427782727006, 1.1569272588012915, 1.060938015817485, 0.9169668536523232, 0.6571574929510979]
