# Fermi-Hubbard model DMRG. L=26, N=13
# V; μ; E; k; D; ρ [calculated 2025-05-29T19:26:34.178]
-3.0; 1.4081632653061225; -109.2040569979957; 1.350854835398724e-9; 380.6672982477204; 0.9615384613929636
-3.0; 1.469387755102041; -110.73464408648195; -2.484753329016577e-9; 205.09744470502807; 0.9615384612408359
-3.0; 1.530612244897959; -112.26482194010833; -3.207942766980673e-8; -120.86326728575195; 0.9615384592767893
-3.0; 1.5918367346938775; -113.7958987513748; 3.4438944621998703e-8; 49.96608481388451; 0.9615384613852961
-3.0; 1.653061224489796; -115.32644390479956; -1.0725703325498148e-8; 128.72051877449329; 0.9615384607286204
-3.0; 1.7142857142857142; -116.85576279444084; -1.7011657646263525e-6; -202.55686504397326; 0.9615383565756144
-3.0; 1.7755102040816326; -118.38670111904545; 3.452823758021136e-7; 477.78710674007385; 0.9615383777153517
-3.0; 1.836734693877551; -119.91803129162469; 1.3320453989458972e-6; 105.25515735648462; 0.9615384592691516
-3.0; 1.8979591836734695; -121.44868879428529; 5.981710275252769e-9; -17.926737967021136; 0.9615384596353788
-3.0; 1.9591836734693877; -122.97913439574324; -1.1429798218998173e-9; 217.8806317024163; 0.9615384595654004
-3.0; 2.020408163265306; -124.51016785385015; 2.9336833888097713e-8; 145.00026842578663; 0.9615384613615331
-3.0; 2.0816326530612246; -126.04049508297126; -1.4695139586665984e-8; 29.530060383045836; 0.9615384604618307
-3.0; 2.142857142857143; -127.57138860924483; 1.3056569122168123e-8; 19.781578604025253; 0.9615384612612125
-3.0; 2.204081632653061; -129.1018605016053; -9.875440391364071e-9; 68.82740854229681; 0.9615384606565937
-3.0; 2.2653061224489797; -130.63258343958753; 6.183769829526369e-9; 162.0643126568116; 0.9615384610351918
-3.0; 2.326530612244898; -132.1628581766468; -5.06076203906267e-8; -56.14131424947729; 0.9615384579367661
-3.0; 2.3877551020408165; -133.69363196123572; 3.100179605623277e-8; -79.04621595557147; 0.9615384598348352
-3.0; 2.4489795918367347; -135.22415128195965; -2.058911929836432e-9; -135.0716592106996; 0.9615384597087794
-3.0; 2.510204081632653; -136.75506678131381; 2.713037394741498e-8; 11.885257139201865; 0.9615384613698227
-3.0; 2.5714285714285716; -138.2856797100891; 7.451839145744508e-11; -1.6351313981788547; 0.961538461374385
-3.0; 2.63265306122449; -139.81631211997995; 1.7471637840197755e-9; 17.005703029897628; 0.9615384614813542
-3.0; 2.693877551020408; -141.3467814325229; -8.022613684488553e-9; -49.11891274362446; 0.9615384609901738
-3.0; 2.7551020408163267; -142.8773043935836; -2.8414770795552005e-8; -97.00379215891465; 0.961538459250494
-3.0; 2.816326530612245; -144.40804166092124; 3.0748146288376746e-8; -29.643751732139727; 0.9615384611330335
-3.0; 2.877551020408163; -145.938733574575; 3.13809034313551e-9; -3.0575662295491006; 0.9615384613251615
-3.0; 2.938775510204082; -147.46935293507983; 1.280947829288923e-9; 111.9113777339772; 0.9615384614035869
-3.0; 3.0; -148.99977798604613; -8.151402441924935e-9; -63.41065136083213; 0.9615384609045214
-2.877551020408163; 0.0; -71.06117699132845; NaN; 65.2257929696588; 0.9615384610639534
-2.877551020408163; 0.061224489795918366; -72.59182174173456; 7.2111948264582306e-9; 24.036064703484115; 0.9615384613460232
-2.877551020408163; 0.12244897959183673; -74.12222811403366; -3.995642638976449e-8; -77.18699285923462; 0.9615384588997113
-2.877551020408163; 0.1836734693877551; -75.65303854803282; 3.84643286110986e-8; -0.6942009546490755; 0.9615384612546702
-2.877551020408163; 0.24489795918367346; -77.18348431045223; -3.221686798819217e-8; -66.83673562992249; 0.9615384592822089
-2.877551020408163; 0.30612244897959184; -78.71406665867075; 7.0338496138688794e-9; -80.63982582956932; 0.9615384597128528
-2.877551020408163; 0.3673469387755102; -80.24480485910388; 1.7560256952246313e-8; -28.891077777569787; 0.9615384607879706
-2.877551020408163; 0.42857142857142855; -81.7755058355357; 1.1044316868454499e-8; 13.978630696434557; 0.9615384614641532
-2.877551020408163; 0.4897959183673469; -83.30610870801902; -1.3431589174217604e-9; 221.6463170980603; 0.961538461381919
-2.877551020408163; 0.5510204081632653; -84.83672008794994; 4.0333029508824845e-10; 62.9793005085163; 0.9615384614066127
-2.877551020408163; 0.6122448979591837; -86.3672627845119; -9.408118284426327e-9; -24.063787139484848; 0.9615384608306055
-2.877551020408163; 0.673469387755102; -87.89794141971602; 9.07203116333004e-9; 63.122856341764404; 0.9615384613860359
-2.877551020408163; 0.7346938775510204; -89.42854962205921; -3.444703041329448e-10; 16.22917489822332; 0.9615384613649459
-2.877551020408163; 0.7959183673469388; -90.95902389747445; -2.2156765459394985e-8; 83.80019345817361; 0.9615384600084093
-2.877551020408163; 0.8571428571428571; -92.48952931288414; -2.401097394984695e-9; -100.04744237666314; 0.9615384598614033
-2.877551020408163; 0.9183673469387755; -94.02038169423034; 2.088682293788222e-8; 1.3125587755736328; 0.9615384611401884
-2.877551020408163; 0.9795918367346939; -95.55076738723515; -2.1656287800079606e-8; -95.53208405636488; 0.9615384598142932
-2.877551020408163; 1.0408163265306123; -97.08160217421917; 2.426280128660823e-8; 152.32866624279265; 0.9615384612997708
-2.877551020408163; 1.1020408163265305; -98.61221131223257; -1.519077012327826e-9; 5.3543276756680305; 0.9615384612067661
-2.877551020408163; 1.163265306122449; -100.14260847096001; -3.134677228899815e-8; 144.9221306558563; 0.961538459287576
-2.877551020408163; 1.2244897959183674; -101.67308106674147; 3.566724323296925e-9; -144.77490820559316; 0.9615384595059469
-2.877551020408163; 1.2857142857142858; -103.20405570892514; 3.013512036205883e-8; -0.161609691067319; 0.9615384613509542
-2.877551020408163; 1.346938775510204; -104.73450281314703; -1.5822992323795916e-8; 105.8843039031422; 0.9615384603821996
-2.877551020408163; 1.4081632653061225; -106.26527620698393; 1.4115392521496502e-8; 324.9625600061541; 0.9615384612464073
-2.877551020408163; 1.469387755102041; -107.7952217548597; -1.3443575693402213e-7; -79.5365576472354; 0.9615384530156467
-2.877551020408163; 1.530612244897959; -109.32640906425728; 1.2720504305452383e-7; -31.94027566300805; 0.9615384608037105
-2.877551020408163; 1.5918367346938775; -110.85710446661514; 4.749803069377847e-9; -1.361479012405001; 0.9615384610945148
-2.877551020408163; 1.653061224489796; -112.38772316426352; 4.1088549599758485e-9; 94.41007270312409; 0.9615384613460773
-2.877551020408163; 1.7142857142857142; -113.91810385397021; -4.625065186392175e-8; 107.38965272348074; 0.9615384585144048
-2.877551020408163; 1.7755102040816326; -115.44834746694205; 9.609526840925743e-9; -235.26301836555638; 0.9615384591027432
