# Fermi-Hubbard model DMRG. L=14, N=7
# V; μ; E; k; D; ρ [calculated 2025-05-29T14:54:56.530]
-3.0; 0.0; -37.99999999223747; NaN; 4.429602143521783; 0.928571428570991
-3.0; 0.10344827586206896; -39.34482757964087; 4.142857142853625; 4.430307116636743; 0.9285714285710647
-3.0; 0.20689655172413793; -40.689655166005394; 1.252442594079639e-12; 4.429790671687238; 0.9285714285711942
-3.0; 0.3103448275862069; -42.0344827532053; 6.450025698730617e-13; 4.430261778810741; 0.928571428571261
-3.0; 0.41379310344827586; -43.379310332994194; -6.346997002045404e-12; 4.4282669894697575; 0.9285714285706044
-3.0; 0.5172413793103449; -44.724137921908394; 5.7406301934292945e-12; 4.429856996324925; 0.9285714285711982
-3.0; 0.6206896551724138; -46.06896549862863; -1.8920790860003462e-12; 4.427477119068485; 0.9285714285710025
-3.0; 0.7241379310344828; -47.413793084582004; -5.212608122917573e-12; 4.429326761738526; 0.9285714285704633
-3.0; 0.8275862068965517; -48.7586206784662; 7.063905016480022e-12; 4.431987147554274; 0.928571428571194
-3.0; 0.9310344827586207; -50.10344825607547; -1.5862126427161156e-12; 4.428183862569688; 0.9285714285710299
-3.0; 1.0344827586206897; -51.44827585744067; 1.4080588546979306e-12; 4.432320327057537; 0.9285714285711756
-3.0; 1.1379310344827587; -52.793103428336146; -1.054970925432978e-12; 4.433147147435426; 0.9285714285710664
-3.0; 1.2413793103448276; -54.137931013254025; -1.1376085258992438e-13; 4.428195153665008; 0.9285714285710547
-3.0; 1.3448275862068966; -55.482758602165895; 6.010007306637515e-13; 4.43111492372265; 0.9285714285711169
-3.0; 1.4482758620689655; -56.827586172248694; -2.5016655413878656e-12; 4.4282795228043215; 0.9285714285708581
-3.0; 1.5517241379310345; -58.172413770476105; 2.056281071342407e-12; 4.4288648659362115; 0.9285714285710708
-3.0; 1.6551724137931034; -59.51724133366828; -3.252916454717555e-12; 4.426529699917174; 0.9285714285707343
-3.0; 1.7586206896551724; -60.86206895589723; 5.343540424955034e-12; 4.437406688924925; 0.928571428571287
-3.0; 1.8620689655172413; -62.206896534734085; -9.530154443382346e-13; 4.431988155408756; 0.9285714285711885
-3.0; 1.9655172413793103; -63.551724110049506; -1.342592703679202e-12; 4.4335504736105795; 0.9285714285710496
-3.0; 2.0689655172413794; -64.89655168837677; -8.403278073387793e-13; 4.427818536414888; 0.9285714285709626
-3.0; 2.1724137931034484; -66.24137924629818; -3.2722343353460328e-12; 4.422498336682215; 0.9285714285706241
-3.0; 2.2758620689655173; -67.58620680338778; -3.1831574413369408e-12; 4.415381652743762; 0.9285714285702948
-3.0; 2.3793103448275863; -68.931034366434; -2.113161497637369e-12; 4.416610688313027; 0.9285714285700762
-3.0; 2.4827586206896552; -70.27586205934864; 1.2030746769179739e-11; 4.4415634901973835; 0.9285714285713208
-3.0; 2.586206896551724; -71.62068958033245; -6.805260059176515e-12; 4.415244868921167; 0.9285714285706168
-3.0; 2.689655172413793; -72.96551715996112; -4.1640764910274213e-13; 4.439439045455733; 0.9285714285705737
-3.0; 2.793103448275862; -74.31034472527215; -1.7815378801818349e-12; 4.4147272817365835; 0.9285714285703894
-3.0; 2.896551724137931; -75.65517236363752; 5.3134903884218456e-12; 4.423292376007139; 0.9285714285709391
-3.0; 3.0; -76.99999988869828; -5.457301277544958e-12; 4.447944137226943; 0.9285714285703746
-2.793103448275862; 0.0; -35.51724137655207; NaN; 4.4293663383870525; 0.9285714285713309
-2.793103448275862; 0.10344827586206896; -36.86206896310734; 9.066525308298878e-12; 4.4297100292656575; 0.9285714285713125
-2.793103448275862; 0.20689655172413793; -38.20689655043537; 6.814918999490752e-13; 4.430218078552949; 0.928571428571383
-2.793103448275862; 0.3103448275862069; -39.55172413321241; -9.970172835475446e-13; 4.430162837189425; 0.9285714285712798
-2.793103448275862; 0.41379310344827586; -40.89655171860271; -9.20818976624105e-13; 4.43043593606509; 0.9285714285711846
-2.793103448275862; 0.5172413793103449; -42.24137929445448; -2.129259731494433e-12; 4.428869892708097; 0.9285714285709643
-2.793103448275862; 0.6206896551724138; -43.58620688734229; 2.050914993390052e-12; 4.429865102912597; 0.9285714285711765
-2.793103448275862; 0.7241379310344828; -44.93103447111265; -1.27498012147953e-12; 4.429136549127907; 0.9285714285710446
-2.793103448275862; 0.8275862068965517; -46.27586205065656; -7.09395505301321e-13; 4.427546861036018; 0.9285714285709712
-2.793103448275862; 0.9310344827586207; -47.62068963757522; 5.891953591685707e-13; 4.428725141366123; 0.9285714285710321
-2.793103448275862; 1.0344827586206897; -48.9655172194056; -2.6036210224826062e-12; 4.427752416473227; 0.9285714285707628
-2.793103448275862; 1.1379310344827587; -50.310344800674564; 7.469580509678054e-13; 4.427613238800918; 0.9285714285708401
-2.793103448275862; 1.2413793103448276; -51.655172394911105; 1.8759808521432814e-12; 4.4300191968312275; 0.9285714285710341
-2.793103448275862; 1.3448275862068966; -52.99999999059368; 2.0412560530758132e-12; 4.4296211865025; 0.9285714285712453
-2.793103448275862; 1.4482758620689655; -54.34482757154966; -9.712601093762412e-13; 4.432661855346062; 0.9285714285711448
-2.793103448275862; 1.5517241379310345; -55.68965516358984; 1.1687317780229025e-12; 4.430359825082261; 0.9285714285712657
-2.793103448275862; 1.6551724137931034; -57.034482737381765; -2.7935801819959733e-12; 4.430167432693346; 0.9285714285709767
-2.793103448275862; 1.7586206896551724; -58.3793103017003; -2.73562654011054e-12; 4.426269114062728; 0.9285714285706937
