# SFH Charge gaps. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; V; hΔ-1; hΔ+1; hΔ-2; hΔ+2; uΔ-1; uΔ-2 [calculated 2025-06-03T22:08:44.972]
14; -2.0; 2.1828171943513226; -1.817182805466114; 4.000000000000156; -3.999999999999879; 2.000000000000348; 4.09223095401407
14; -1.75; 1.969071195894342; -1.5309288058419348; 3.5842230563311084; -3.415776943668881; 1.5000000000003482; 3.126300496605367
14; -1.5; 1.7505119863064813; -1.2494879696949397; 3.1784354203834493; -2.8215645796165543; 1.000000000000341; 2.1487433900551665
14; -1.25; 1.5312290483381883; -0.9687709555664714; 2.7802258747943167; -2.219774125205692; 0.5000000000003411; 1.1640764387528293
14; -1.0; 1.312200342330275; -0.6877996469349554; 2.3888513966472296; -1.6111486033527846; 3.517186542012496e-13; 0.1749987942060116
14; -0.75; 1.0938372100396307; -0.40616277041725724; 2.004063106727312; -0.9959368932726917; -0.49999999999965894; -0.8169150834799552
14; -0.5; 0.876389701889785; -0.1236102988946044; 1.625865842560252; -0.3741341574397623; -0.9999999999996554; -1.8107272338187812
14; -0.25; 0.6600581280914213; 0.16005814739153124; 1.2544356046832306; 0.25443560468322346; -1.4999999999996536; -2.805858574771804
14; 0.0; 0.4450418595181649; 0.44504185771400984; 0.8900836822728362; 0.8900836822728362; -1.9999999999996538; -3.8019377358048403
14; 0.25; 0.23157074770946195; 0.7315707513982712; 0.5332350417813387; 1.5332350416524854; -2.499999999999653; -4.798717864653061
14; 0.5; 0.019931995862827456; 1.0199319958618513; 0.18441364964285079; 2.1844136496428463; -2.999999999999652; -5.796029493011383
14; 0.75; -0.18950519642007801; 1.3104947920748415; -0.155770299186206; 2.8442297008137825; -3.499999999999651; -6.793752900359987
14; 1.0; -0.39626299760511685; 1.6037370438936183; -0.48662733542579417; 3.5133726645742; -3.999999999999659; -7.791801358357393
