# SFH Charge gaps. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; V; hΔ-1; hΔ+1; hΔ-2; hΔ+2; uΔ-1; uΔ-2 [calculated 2025-06-01T20:39:25.352]
26; -2.0; 2.0972395098501515; -1.9027604869159838; 4.000000462883634; -3.999999569289546; 2.000001872580995; 4.028350296750482
26; -1.793103448275862; 1.909069950126181; -1.6771369576918893; 3.6229547238366564; -3.5494590674920623; 1.5862087691327318; 3.212711133724248
26; -1.5862068965517242; 1.7165836885390462; -1.4558301024862637; 3.2501048841324938; -3.0947227020744563; 1.1724156656844258; 2.3914649417257436
26; -1.3793103448275863; 1.5234942561569689; -1.2351264320926205; 2.8803139103920543; -2.6369274681223267; 0.7586225622361482; 1.567575290350561
26; -1.1724137931034482; 1.3303400483566428; -1.014487535642747; 2.513238809254638; -2.1764163524996505; 0.3448294587878564; 0.7423698314328604
26; -0.9655172413793104; 1.1373275691118856; -0.7937069278230986; 2.148738187161655; -1.7133307783555338; -0.06896364466037852; -0.08356747285161603
26; -0.7586206896551724; 0.9445684483610997; -0.5726729336756939; 1.786769979531023; -1.2477127790798725; -0.4827567481086774; -0.9099484970113032
26; -0.5517241379310345; 0.752138849545446; -0.3513094320108081; 1.4273571300029104; -0.7795394217212177; -0.8965498515569426; -1.7366172117170748
26; -0.3448275862068966; 0.5601013959056118; -0.1295537621157159; 1.0705749877475377; -0.3087353563759869; -1.3103429550052166; -2.5634825595842656
26; -0.13793103448275862; 0.3685156011269548; 0.09265353048229841; 0.716548739433879; 0.1648246015028505; -1.7241360584534915; -3.3904877669839477
26; 0.06896551724137931; 0.1774450044667475; 0.3153760409940425; 0.3654541303569232; 0.6413161993056846; -2.1379291619017704; -4.217596042164607
26; 0.27586206896551724; -0.013037693268106665; 0.5386864079874467; 0.017523781860273147; 1.1209720576626587; -2.551722265350042; -5.044782351508384
26; 0.4827586206896552; -0.202841074420558; 0.7626761726173701; -0.3269459115299078; 1.6040885712287256; -2.9655153687983216; -5.87202904442906
26; 0.6896551724137931; -0.3918485380197776; 0.9874618030964939; -0.6675837641446094; 2.0910369255105117; -3.3793084722466062; -6.699323519895
26; 0.896551724137931; -0.5799043777952324; 1.2131990614825963; -1.00393376106142; 2.582273135490281; -3.7931015756949016; -7.526656321504971
26; 1.103448275862069; -0.7667971875833182; 1.4400993624492031; -1.3354409784517642; 3.078352131782495; -4.20689467914314; -8.354020406581771
26; 1.3103448275862069; -0.9522374797465254; 1.6684521947966289; -1.6614369140231204; 3.5799423975440803; -4.620687782591428; -9.181410338001434
26; 1.5172413793103448; -1.1358284955939553; 1.8986542607546895; -1.9811228761294615; 4.087842643676276; -5.0344808860397094; -10.00882190330407
26; 1.7241379310344827; -1.3170318237119805; 2.1312440278194575; -2.2935520755682095; 4.602999648582696; -5.4482739894880154; -10.836251616109976
26; 1.9310344827586208; -1.495127084181263; 2.366941880597503; -2.59761034227326; 5.126527588761212; -5.8620670929362575; -11.663696881420442
26; 2.1379310344827585; -1.6691734472273936; 2.6066886394497653; -2.8919997287523778; 5.659724409178648; -6.275860196384528; -12.491155511308442
26; 2.3448275862068964; -1.8379830447325212; 2.851672101572336; -3.17523540034934; 6.204074944478245; -6.689653299832784; -13.31862562343381
26; 2.5517241379310347; -2.0001260058475907; 3.1033222695804907; -3.4456678791527295; 6.761228672571401; -7.1034464032810405; -14.146105765070331
26; 2.7586206896551726; -2.153995075895022; 3.363246266941709; -3.7015617463783173; 7.332921010682901; -7.517239506729339; -14.97359469201966
26; 2.9655172413793105; -2.2979528466148658; 3.6330817668518067; -3.941248245232618; 7.920820720284587; -7.93103261017761; -15.801091358390984
26; 3.1724137931034484; -2.4305657000319103; 3.914262231275787; -4.163357331447618; 8.526297839288807; -8.34482571362588; -16.628594874956974
26; 3.3793103448275863; -2.5508629033945773; 4.207757586107773; -4.367067368798963; 9.15017401051139; -8.758618817074236; -17.456104491277785
26; 3.586206896551724; -2.658526675499096; 4.513886681385953; -4.552281229957063; 9.792546355457532; -9.172411920522578; -18.283619550581548
26; 3.793103448275862; -2.753917808822268; 4.832289036715299; -4.719635611067207; 10.452778182036258; -9.586205023970649; -19.111139499310738
26; 4.0; -2.8379328474995917; 5.162066939414676; -4.870343271781068; 11.129656723267757; -9.999998127419047; -19.938663847073883
